0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,0
2321,473,7,100,116,10,13,940,120,19,181,87,784,86,311,122,63,5490,1071,730,47,5491,707,160,406,108,308,205,2158,2321,1153,553,4,144,3528,365,38,2159,1221,158,686,31,26,160,1367,67,395,144,27,2321,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686,4,451,19,55,195,414,1752,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,823,5,6,253,1,6,4,239,137,1,14,43,291,15,8,92,1494,63,131,60,28,199,316,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3044,32,107,1276,88,1,131,28,582,95,2036,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,46,1008,0
375,736,754,981,761,187,22,541,43,6,49,12,44,28,511,31,12,720,104,7,197,21,492,238,3,80,894,248,12,511,357,574,12,720,721,137,541,895,731,161,60,6,17,1,20,11,12,48,18,162,0
1186,161,4192,27,2037,3529,27,22,1679,49,206,1186,105,3,258,191,5,73,671,143,175,279,506,5,138,831,329,4190,4193,3045,42,1368,92,408,50,534,212,15,56,26,38,299,5,9,535,76,24,1369,22,99,0
10,11,616,600,234,60,59,67,854,2497,82,303,59,59,67,37,366,520,15,65,746,37,13,24,37,16,1321,25,51,40,13,3,11,737,5498,1,249,199,10,41,3530,3046,2038,408,407,452,23,140,498,10,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
